hostname,vlan_name,vlan_id,description,l3_interface,status
mgmtsw01.dfw1.de-cix.management,"set vlans mgmt.100","","","l3-interface irb.100",active
mgmtsw01.dfw4.de-cix.management,"set vlans mgmt.100","","","l3-interface irb.100",active
mgmtsw01.phx3.de-cix.management,"set vlans mgmt.102","","description "ICP Router Management"","",active
mgmtsw01.phx4.de-cix.management,"set vlans mgmt.102","vlan-id 102","","",active
mgmtsw01.phx3.de-cix.management,"set vlans mgmt.102","vlan-id 102","","",active
mgmtsw01.dfw1.de-cix.management,"set vlans mgmt.102","vlan-id 102","","",active
mgmtsw01.phx3.de-cix.management,"set vlans mgmt.109","","description "Optical Transport Mgmt"","",active
mgmtsw01.phx3.de-cix.management,"set vlans mgmt.109","vlan-id 109","","",active
mgmtsw01.dfw1.de-cix.management,"set vlans mgmt.109","vlan-id 109","","",active
mgmtsw01.sea1.de-cix.management,"set vlans mgmt.199","vlan-id 199","","",active
mgmtsw01.phx4.de-cix.management,"set vlans mgmt.199","vlan-id 199","","",active
mgmtsw01.dfw4.de-cix.management,"set vlans mgmt.109","vlan-id 109","","",active
mgmtsw01.phx3.de-cix.management,"set vlans mgmt.199","","description "Stub Site OOB"","",active
mgmtsw01.sea1.de-cix.management,"set vlans quarantine","","description "Unused Ports"","",active
mgmtsw01.phx4.de-cix.management,"set vlans quarantine","","description "Unused Ports"","",active
mgmtsw01.dfw4.de-cix.management,"set vlans mgmt.199","vlan-id 199","","",active
mgmtsw01.phx3.de-cix.management,"set vlans quarantine","","description "Unused Ports"","",active
mgmtsw01.dfw9.de-cix.management,"set vlans mgmt.100","","description "mgmt.100 phx"","",active
mgmtsw01.dfw4.de-cix.management,"set vlans quarantine","vlan-id 999","","",active
mgmtsw01.dfw9.de-cix.management,"set vlans mgmt.100","vlan-id 100","","",active
mgmtsw01.dfw8.de-cix.management,"set vlans mgmt.100","","","l3-interface irb.100",active
mgmtsw01.dfw9.de-cix.management,"set vlans mgmt.102","","description "mgmt.102 phx"","",active
mgmtsw01.dfw11.de-cix.management,"set vlans mgmt.100","","","l3-interface irb.100",active
mgmtsw01.dfw9.de-cix.management,"set vlans mgmt.199","","description "mgmt.199 phx"","",active
mgmtsw01.dfw9.de-cix.management,"set vlans mgmt.199","vlan-id 199","","",active
mgmtsw01.dfw8.de-cix.management,"set vlans mgmt.109","vlan-id 109","","",active
mgmtsw01.dfw9.de-cix.management,"set vlans quarantine","","description "Unused Ports"","",active
mgmtsw01.dfw11.de-cix.management,"set vlans mgmt.109","","description "mgmt.109 phx"","",active
mgmtsw01.dfw9.de-cix.management,"set vlans quarantine","vlan-id 999","","",active
mgmtsw01.dfw11.de-cix.management,"set vlans mgmt.199","","description "mgmt.199 phx"","",active
mgmtsw01.hou1.de-cix.management,"set vlans quarantine","","description "Unused Ports"","",active
mgmtsw01.dfw8.de-cix.management,"set vlans quarantine","","description "Unused Ports"","",active
mgmtsw01.dfw11.de-cix.management,"set vlans mgmt.199","vlan-id 199","","",active
mgmtsw01.dfw11.de-cix.management,"set vlans quarantine","","description "Unused Ports"","",active
mgmtsw01.hou1.de-cix.management,"set vlans v223","","","l3-interface irb.223",active
